code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connectivity,Fibre connectivity,Population,GVA/H volume,Hours
TLC14,Durham CC,2014,26.9,,,0.245638306048728,0.2622396433786795,0.7424486972561679,0.2957326171292151,0.6333186657424786,,,513604.0,97.9,5702581.0
TLC14,Durham CC,2015,27.0,,,0.2693726937269373,0.2899753997539975,0.7306273062730627,0.3182077625570776,0.632778387465851,,,513924.0,98.3,5671464.0
TLC14,Durham CC,2016,27.5,0.2106158919263908,,0.2221879815100154,0.3010785824345146,0.7445300462249614,0.3465018094089264,0.6307940229107499,,,514431.0,98.3,5523075.0
TLC14,Durham CC,2017,28.1,0.2163802860376582,0.1145261617270398,0.2236293436293436,0.3017760617760617,0.7671042471042471,0.3524535809018567,0.627530717507477,,,515911.0,97.7,5666992.0
TLC14,Durham CC,2018,29.1,0.2277256740914419,0.1146100329549615,0.195491043854231,0.288449660284126,0.7637430512662137,0.2879084967320261,0.6267323206515848,0.7085,0.011,516648.0,99.9,5755046.0
TLC14,Durham CC,2019,30.2,0.2743810952738184,0.1181102362204724,0.190755459526198,0.3166911027085423,0.768654988810865,0.2925283522348232,0.6247565382731477,0.7617999999999999,0.044,518562.0,100.0,5901952.0
TLC14,Durham CC,2020,31.8,0.2242378193560642,0.1236933797909407,0.1922154298537491,0.3157161649771725,0.763909308983982,0.3136676499508358,0.6222505989938444,0.763,0.153,519204.0,108.1,5282631.0
TLC14,Durham CC,2021,32.8,0.2840656901908566,0.122338627914836,0.1549569132831302,0.3251300364878503,0.7551432342209455,0.3021559923906151,0.6175603656747474,0.7947000000000001,0.376,521447.0,102.5,5934106.0
TLC14,Durham CC,2022,33.5,0.2632396207911082,0.1208975217682518,0.1123143564356435,0.3097153465346535,0.7568069306930693,0.3435114503816794,0.6119740138262199,0.8164,0.483,528127.0,108.8,5799513.0
TLC14,Durham CC,2023,,,,,,,,,0.8155,0.542,,,
TLC14,Durham CC,2024,,,,,,,,,0.8146,0.583,,,
TLC21,Northumberland,2004,20.8,,,,,,,,,,310140.0,97.7,3702343.0
TLC21,Northumberland,2005,20.7,,,,,,,,,,310752.0,101.5,3563851.0
TLC21,Northumberland,2006,21.5,,,,,,,,,,311375.0,102.0,3660640.0
TLC21,Northumberland,2007,21.7,,,,,,,,,,312960.0,98.5,3726920.0
TLC21,Northumberland,2008,21.7,,,,,,,,,,314057.0,93.2,3870296.0
TLC21,Northumberland,2009,21.9,,,,,,,,,,314489.0,87.9,3916949.0
TLC21,Northumberland,2010,22.7,,,,,,,,,,315463.0,91.6,3831456.0
TLC21,Northumberland,2011,23.8,,,,,,,,,,316278.0,98.7,3567956.0
TLC21,Northumberland,2012,24.7,,,0.229491173416407,0.2912772585669781,0.7767393561786086,0.2186046511627907,0.6096402932350818,,,315924.0,104.0,3385307.0
TLC21,Northumberland,2013,25.2,,,0.2164140094093047,0.3078933612127548,0.7944328280188186,0.2275905912269548,0.6072765250957897,,,315013.0,97.5,3558091.0
TLC21,Northumberland,2014,25.7,,,0.2052091554853986,0.3088660878716127,0.7826887661141805,0.223365617433414,0.6028089852001751,,,315274.0,102.6,3466918.0
TLC21,Northumberland,2015,26.1,,,0.199946963670114,0.3081410766374967,0.7767170511800583,0.2209026128266033,0.6001184004481394,,,314188.0,103.1,3470297.0
TLC21,Northumberland,2016,26.6,,,0.2259647261636387,0.3262166821376475,0.7760243999469566,0.2036708111308466,0.5997734843013804,,,314327.0,99.4,3581544.0
TLC21,Northumberland,2017,27.0,,0.0979055041402825,0.1921953809397398,0.349880541544996,0.7563047517918768,0.2162309368191721,0.59668063726189,,,315663.0,101.5,3524684.0
TLC21,Northumberland,2018,27.6,0.2193168818434384,0.1045719844357976,0.2236190985689447,0.3060050822522402,0.7517721011100709,0.2580818965517241,0.5912485410544894,0.7384,0.019,316153.0,99.7,3551360.0
TLC21,Northumberland,2019,28.6,0.2005264787860018,0.1002409638554216,0.2269772481040086,0.3201516793066088,0.763136511375948,0.270440251572327,0.5804538608357152,0.7679000000000001,0.0329999999999999,318027.0,100.0,3702075.0
TLC21,Northumberland,2020,30.2,0.2057893861254367,0.0946402704007725,0.2064445658110322,0.3369743309666849,0.77198252321136,0.2664670658682634,0.5749003108417847,0.761,0.057,318490.0,102.7,3205505.0
TLC21,Northumberland,2021,31.7,0.196577243293247,0.1015736766809728,0.16510215350635,0.3539480949751518,0.7516565433462176,0.2412451361867704,0.5632409837901049,0.7601,0.102,321532.0,103.7,3424017.0
TLC21,Northumberland,2022,32.8,0.226833582800381,0.0946073793755913,0.0729281767955801,0.374585635359116,0.7419889502762431,0.2312633832976445,0.558018510183067,0.7496,0.324,324362.0,114.6,3380298.0
TLC21,Northumberland,2023,,,,,,,,,0.7438,0.512,,,
TLC21,Northumberland,2024,,,,,,,,,0.7523,0.643,,,
TLC22,Tyneside,2004,22.4,,,,,,,,,,802661.0,86.9,12011819.0
TLC22,Tyneside,2005,22.3,,,,,,,,,,806170.0,85.5,12551010.0
TLC22,Tyneside,2006,23.1,,,,,,,,,,808125.0,86.9,12749660.0
TLC22,Tyneside,2007,23.6,,,,,,,,,,811623.0,87.3,12536757.0
TLC22,Tyneside,2008,24.1,,,,,,,,,,814317.0,85.4,12491988.0
TLC22,Tyneside,2009,24.6,,,,,,,,,,818429.0,82.9,12231162.0
TLC22,Tyneside,2010,25.2,,,,,,,,,,824044.0,86.3,12151781.0
TLC22,Tyneside,2011,26.0,,,,,,,,,,828811.0,89.7,12088972.0
TLC22,Tyneside,2012,26.6,,,0.2385168788046485,0.3040029514849658,0.7367644346061613,0.248072880168185,0.6527801861164094,,,830448.0,91.8,12149068.0
TLC22,Tyneside,2013,26.9,,,0.2344605475040257,0.3077064642282033,0.720404876926616,0.2548955076518018,0.6511735204414858,,,834455.0,90.0,12069982.0
TLC22,Tyneside,2014,27.2,,,0.2169889123064235,0.305873728580592,0.7382937780628608,0.2650560224089636,0.6508066949658943,,,838421.0,88.5,12593454.0
TLC22,Tyneside,2015,27.7,,,0.2063841496973032,0.3346175013758943,0.7642175747569253,0.2649290021396615,0.6493854604846981,,,839409.0,91.0,12703746.0
TLC22,Tyneside,2016,28.2,0.2086606720302886,,0.1960514864183958,0.3382346204937932,0.7619898309743026,0.277328714395689,0.6473569593467776,,,843082.0,93.6,12517624.0
TLC22,Tyneside,2017,28.9,0.2231831559882273,0.1375381485249237,0.18206745270085,0.3403710812539987,0.754638515674984,0.2654125535481467,0.6476210094150989,,,844707.0,95.3,12800682.0
TLC22,Tyneside,2018,29.8,0.2118806582526869,0.1263007549479698,0.194238683127572,0.3465935070873343,0.7511659807956105,0.2658948915839765,0.6442114639595057,0.8662202881307197,0.0280230425255559,848712.0,93.1,13160952.0
TLC22,Tyneside,2019,31.1,0.217819239986306,0.1333333333333333,0.188782991202346,0.3522727272727273,0.7568731671554252,0.2551828119110441,0.6409894922836895,0.9039815842887966,0.027705632832095,851184.0,100.0,12619135.0
TLC22,Tyneside,2020,32.5,0.1891574195975174,0.1223510595761695,0.1832285307752329,0.3873869738835085,0.7644007894616055,0.2515098383011884,0.6395135857377345,0.907617450233351,0.0859025859348877,851702.0,99.3,10869933.0
TLC22,Tyneside,2021,33.6,0.2007658643326039,0.1350720124562086,0.1894397048651141,0.3917915609868573,0.7706709707170856,0.2795093504926603,0.6364680178122993,0.9328539593863828,0.2279139304277716,851771.0,101.8,12138592.0
TLC22,Tyneside,2022,34.2,0.1916449686016235,0.1312704209110128,0.1121495327102803,0.3974711379879054,0.7297049660985889,0.3145762711864406,0.631275008936411,0.9425375832085944,0.3370896347216606,864441.0,103.5,12575141.0
TLC22,Tyneside,2023,,,,,,,,,0.953024742068868,0.4678826486976804,,,
TLC22,Tyneside,2024,,,,,,,,,0.9550846076092196,0.5232683325301772,,,
TLC23,Sunderland,2004,24.9,,,,,,,,,,280113.0,90.2,3555122.0
